Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,7.435620,7.436550,7.434780,7.435210,7.435210,0
2017-08-21,7.435430,7.437500,7.435100,7.435740,7.435740,0
2017-08-22,7.437730,7.438300,7.436050,7.437560,7.437560,0
2017-08-23,7.437220,7.437900,7.435510,7.436990,7.436990,0
2017-08-24,7.436730,7.437840,7.436480,7.436320,7.436320,0
2017-08-25,7.436880,7.439400,7.436480,7.436660,7.436660,0
2017-08-28,7.439200,7.439900,7.437850,7.439200,7.439200,0
2017-08-29,7.438610,7.439920,7.438100,7.438560,7.438560,0
2017-08-30,7.439620,7.439900,7.437840,7.439170,7.439170,0
2017-08-31,7.437540,7.439200,7.436580,7.438400,7.438400,0
2017-09-01,7.436420,7.438100,7.435870,7.436900,7.436900,0
2017-09-04,7.436840,7.437600,7.435760,7.436840,7.436840,0
2017-09-05,7.435960,7.438400,7.435180,7.435900,7.435900,0
2017-09-06,7.437090,7.439400,7.437050,7.437700,7.437700,0
2017-09-07,7.438950,7.442020,7.437050,7.439700,7.439700,0
2017-09-08,7.440600,7.440700,7.438710,7.440210,7.440210,0
2017-09-11,7.440400,7.440600,7.438670,7.439680,7.439680,0
2017-09-12,7.438380,7.440470,7.437710,7.438840,7.438840,0
2017-09-13,7.440200,7.440500,7.438400,7.440200,7.440200,0
2017-09-14,7.439390,7.440400,7.438490,7.439390,7.439390,0
2017-09-15,7.439860,7.441740,7.439160,7.439770,7.439770,0
2017-09-18,7.440800,7.441600,7.440210,7.440960,7.440960,0
2017-09-19,7.440960,7.441450,7.440520,7.440900,7.440900,0
2017-09-20,7.440280,7.441340,7.440100,7.440430,7.440430,0
2017-09-21,7.440660,7.441100,7.439000,7.440360,7.440360,0
2017-09-22,7.440380,7.441300,7.439300,7.440410,7.440410,0
2017-09-25,7.439490,7.440680,7.438810,7.439900,7.439900,0
2017-09-26,7.439310,7.440530,7.438820,7.439340,7.439340,0
2017-09-27,7.439740,7.441440,7.439180,7.439900,7.439900,0
2017-09-28,7.441380,7.442110,7.439420,7.441420,7.441420,0
2017-09-29,7.442010,7.442800,7.440580,7.441910,7.441910,0
2017-10-02,7.441230,7.442700,7.440810,7.441050,7.441050,0
2017-10-03,7.442220,7.442800,7.441400,7.442240,7.442240,0
2017-10-04,7.441870,7.443000,7.441580,7.441990,7.441990,0
2017-10-05,7.442000,7.442600,7.441530,7.442400,7.442400,0
2017-10-06,7.442150,7.443200,7.439310,7.442120,7.442120,0
2017-10-09,7.442300,7.443200,7.441950,7.442130,7.442130,0
2017-10-10,7.442440,7.443000,7.441710,7.442240,7.442240,0
2017-10-11,7.442050,7.443780,7.441750,7.442400,7.442400,0
2017-10-12,7.443260,7.444100,7.442350,7.443600,7.443600,0
2017-10-13,7.442920,7.443930,7.442780,7.442890,7.442890,0
2017-10-16,7.443340,7.444070,7.442760,7.443600,7.443600,0
2017-10-17,7.443570,7.444300,7.442730,7.443560,7.443560,0
2017-10-18,7.443870,7.444300,7.442700,7.444100,7.444100,0
2017-10-19,7.443370,7.444400,7.442640,7.443450,7.443450,0
2017-10-20,7.443020,7.443890,7.442150,7.442700,7.442700,0
2017-10-23,7.443150,7.443800,7.442520,7.442710,7.442710,0
2017-10-24,7.443190,7.444000,7.442510,7.443500,7.443500,0
2017-10-25,7.443550,7.444000,7.441820,7.443600,7.443600,0
2017-10-26,7.443100,7.443800,7.441190,7.443300,7.443300,0
2017-10-27,7.441760,7.442550,7.439320,7.441800,7.441800,0
2017-10-30,7.440240,7.440900,7.439860,7.440330,7.440330,0
2017-10-31,7.440710,7.441510,7.440130,7.440690,7.440690,0
2017-11-01,7.440780,7.442000,7.440160,7.441100,7.441100,0
2017-11-02,7.441400,7.442300,7.440250,7.441140,7.441140,0
2017-11-03,7.441900,7.443210,7.440290,7.441600,7.441600,0
2017-11-06,7.442240,7.442800,7.441060,7.442220,7.442220,0
2017-11-07,7.441420,7.442800,7.441050,7.441420,7.441420,0
2017-11-08,7.442750,7.445600,7.441930,7.443100,7.443100,0
2017-11-09,7.443370,7.443800,7.439930,7.443370,7.443370,0
2017-11-10,7.440660,7.441820,7.439870,7.440590,7.440590,0
2017-11-13,7.440720,7.442100,7.439700,7.440570,7.440570,0
2017-11-14,7.439090,7.441310,7.438510,7.439300,7.439300,0
2017-11-15,7.440160,7.442690,7.440010,7.440070,7.440070,0
2017-11-16,null,null,null,null,null,null
2017-11-17,7.439940,7.441750,7.439690,7.439880,7.439880,0
2017-11-20,7.441100,7.441510,7.440100,7.440840,7.440840,0
2017-11-21,7.441400,7.442000,7.440500,7.440930,7.440930,0
2017-11-22,7.440940,7.442010,7.440320,7.440950,7.440950,0
2017-11-23,7.441240,7.442200,7.440880,7.441700,7.441700,0
2017-11-24,7.441680,7.442600,7.441200,7.441740,7.441740,0
2017-11-27,7.441660,7.442640,7.440860,7.441280,7.441280,0
